week_start,week_end,price,symbol,box_type
2022-05-23,2022-05-29,84.32,SNC,Draft
2022-05-30,2022-06-05,83.47,SNC,Draft
2022-06-06,2022-06-12,80.61,SNC,Draft
2022-06-13,2022-06-19,84.66,SNC,Draft
2022-06-20,2022-06-26,82.90,SNC,Draft
2022-06-27,2022-07-03,83.55,SNC,Draft
2022-07-04,2022-07-10,82.52,SNC,Draft
2022-07-11,2022-07-17,84.40,SNC,Draft
2022-07-18,2022-07-24,83.38,SNC,Draft
2022-07-25,2022-07-31,82.70,SNC,Draft
2022-08-01,2022-08-07,83.17,SNC,Draft
2022-08-08,2022-08-14,80.17,SNC,Draft
2022-08-15,2022-08-21,78.73,SNC,Draft
2022-08-22,2022-08-28,79.85,SNC,Draft
2022-08-29,2022-09-04,76.42,SNC,Draft
2022-09-05,2022-09-11,76.43,SNC,Draft
2022-09-12,2022-09-18,79.50,SNC,Draft
2022-09-19,2022-09-25,77.26,SNC,Draft
2022-09-26,2022-10-02,74.44,SNC,Draft
2022-10-03,2022-10-09,74.88,SNC,Draft
2022-10-10,2022-10-16,75.46,SNC,Draft
2022-10-17,2022-10-23,73.02,SNC,Draft
2022-10-24,2022-10-30,72.67,SNC,Draft
2022-10-31,2022-11-06,72.99,SNC,Draft
2022-11-07,2022-11-13,71.91,SNC,Draft
2022-11-14,2022-11-20,71.93,SNC,Draft
2022-11-21,2022-11-27,73.84,SNC,Draft
2022-11-28,2022-12-04,74.47,SNC,Draft
2022-12-05,2022-12-11,71.31,SNC,Draft
2022-12-12,2022-12-18,73.15,SNC,Draft
2022-12-19,2022-12-25,72.30,SNC,Draft
2022-12-26,2023-01-01,71.67,SNC,Draft
2023-01-02,2023-01-08,73.34,SNC,Draft
2023-01-09,2023-01-15,72.79,SNC,Draft
2023-01-16,2023-01-22,72.53,SNC,Draft
2023-01-23,2023-01-29,73.16,SNC,Draft
2022-06-13,2022-06-19,272.00,DMU,Collector
2022-06-20,2022-06-26,272.00,DMU,Collector
2022-06-27,2022-07-03,266.95,DMU,Collector
2022-07-04,2022-07-10,263.94,DMU,Collector
2022-07-11,2022-07-17,280.97,DMU,Collector
2022-07-18,2022-07-24,274.37,DMU,Collector
2022-07-25,2022-07-31,270.15,DMU,Collector
2022-08-01,2022-08-07,263.48,DMU,Collector
2022-08-08,2022-08-14,261.41,DMU,Collector
2022-08-15,2022-08-21,250.41,DMU,Collector
2022-08-22,2022-08-28,246.74,DMU,Collector
2022-08-29,2022-09-04,233.51,DMU,Collector
2022-09-05,2022-09-11,212.76,DMU,Collector
2022-09-12,2022-09-18,205.69,DMU,Collector
2022-09-19,2022-09-25,203.95,DMU,Collector
2022-09-26,2022-10-02,199.42,DMU,Collector
2022-10-03,2022-10-09,199.30,DMU,Collector
2022-10-10,2022-10-16,199.45,DMU,Collector
2022-10-17,2022-10-23,198.70,DMU,Collector
2022-10-24,2022-10-30,196.55,DMU,Collector
2022-10-31,2022-11-06,185.94,DMU,Collector
2022-11-07,2022-11-13,181.65,DMU,Collector
2022-11-14,2022-11-20,181.45,DMU,Collector
2022-11-21,2022-11-27,180.81,DMU,Collector
2022-11-28,2022-12-04,178.98,DMU,Collector
2022-12-05,2022-12-11,175.78,DMU,Collector
2022-12-12,2022-12-18,174.71,DMU,Collector
2022-12-19,2022-12-25,173.58,DMU,Collector
2022-12-26,2023-01-01,172.53,DMU,Collector
2023-01-02,2023-01-08,170.22,DMU,Collector
2023-01-09,2023-01-15,166.82,DMU,Collector
2023-01-16,2023-01-22,155.57,DMU,Collector
2023-01-23,2023-01-29,156.93,DMU,Collector
2022-06-06,2022-06-12,149.00,DMU,Set
2022-06-13,2022-06-19,144.71,DMU,Set
2022-06-20,2022-06-26,142.74,DMU,Set
2022-06-27,2022-07-03,141.21,DMU,Set
2022-07-04,2022-07-10,136.40,DMU,Set
2022-07-11,2022-07-17,129.51,DMU,Set
2022-07-18,2022-07-24,128.91,DMU,Set
2022-07-25,2022-07-31,122.90,DMU,Set
2022-08-01,2022-08-07,122.14,DMU,Set
