date,volume,adjusted
2020-02-04,991200,93.8635330200195
2020-02-05,914400,94.9113693237305
2020-02-06,1566300,92.580810546875
2020-02-07,1849000,90.0967102050781
2020-02-10,1118600,91.1445388793945
2020-02-11,4045500,90.4218826293945
2020-02-12,2776300,88.7055969238281
2020-02-13,1374000,87.6125793457031
2020-02-14,936900,88.2629623413086
2020-02-18,1160400,88.0009994506836
2020-02-19,1124100,88.2358551025391
2020-02-20,1340000,89.3198394775391
2020-02-21,3638000,81.2713088989258
2020-02-24,2284600,78.6697311401367
2020-02-25,1565900,74.9842224121094
2020-02-26,1820200,74.5235366821289
2020-02-27,2369400,71.8226165771484
2020-02-28,2288300,69.781120300293
2020-03-02,1485900,71.6238861083984
2020-03-03,2577300,68.1461410522461
2020-03-04,2367600,70.323112487793
2020-03-05,1286300,67.269905090332
2020-03-06,1800600,65.7162094116211
2020-03-09,2254700,59.8265914916992
2020-03-10,2008000,60.747974395752
2020-03-11,2602400,56.8908157348633
2020-03-12,2547500,48.5893402099609
2020-03-13,3069000,49.7004241943359
2020-03-16,2488500,40.4053039550781
2020-03-17,3130400,42.2299957275391
2020-03-18,2507100,42.2932357788086
2020-03-19,2495200,42.7177925109863
2020-03-20,2739100,41.6518859863281
2020-03-23,3802400,46.8549766540527
2020-03-24,3305500,57.0082397460938
2020-03-25,3121500,60.332447052002
2020-03-26,1758700,61.6874237060547
2020-03-27,1322400,59.293628692627
2020-03-30,1841500,64.5689849853516
2020-03-31,2456300,64.6322326660156
2020-04-01,2343100,63.3043403625488
2020-04-02,1468600,63.6205101013184
2020-04-03,1628400,60.4679374694824
2020-04-06,1250700,64.3160629272461
2020-04-07,1919200,67.215705871582
2020-04-08,1194000,66.9808502197266
2020-04-09,1507900,68.353889465332
2020-04-13,1003700,67.0440902709961
2020-04-14,1306900,67.4415435791016
2020-04-15,1598100,64.6141510009766
2020-04-16,1349700,65.9510650634766
2020-04-17,1306700,67.929313659668
2020-04-20,1045800,68.3629150390625
2020-04-21,1267700,65.3458404541016
2020-04-22,787300,66.9808502197266
2020-04-23,1209400,65.7252502441406
2020-04-24,1540000,67.6312255859375
2020-04-27,1045700,69.3385009765625
2020-04-28,1926500,70.3321533203125
2020-04-29,3835300,65.8607330322266
2020-04-30,1860600,65.8425064086914
2020-05-01,1742400,62.6693725585938
2020-05-04,1120000,62.9793815612793
2020-05-05,1212700,61.2834053039551
2020-05-06,1229400,60.0798072814941
2020-05-07,911900,62.3502311706543
2020-05-08,719200,63.5538368225098
2020-05-11,772700,62.5508270263672
2020-05-12,819700,59.7606658935547
2020-05-13,1063900,57.2987518310547
2020-05-14,1064700,58.9217987060547
2020-05-15,1135100,59.0859260559082
2020-05-18,1264900,62.2408180236816
2020-05-19,848100,61.976390838623
2020-05-20,677400,62.7879028320312
2020-05-21,691400,62.7332000732422
2020-05-22,1010100,60.809268951416
2020-05-26,2309300,66.1616439819336
2020-05-27,1102400,66.8819808959961
2020-05-28,1289000,66.9822692871094
2020-05-29,1642000,67.0278701782227
2020-06-01,745400,66.2528381347656
2020-06-02,1050600,66.8546371459961
2020-06-03,1307000,70.3833694458008
2020-06-04,927000,70.2648315429688
2020-06-05,1154500,73.7297439575195
2020-06-08,1153000,76.5199127197266
2020-06-09,1110100,72.2252349853516
2020-06-10,813800,69.40771484375
2020-06-11,918800,64.8121566772461
2020-06-12,800400,67.7482070922852
2020-06-15,856300,68.8515014648438
2020-06-16,680900,70.310417175293
2020-06-17,548700,69.890983581543
2020-06-18,755000,68.5323944091797
2020-06-19,3198300,65.0492095947266
2020-06-22,1204900,66.6905059814453
2020-06-23,697700,67.2649459838867
2020-06-24,999100,64.6844940185547
2020-06-25,1235900,64.1556396484375
2020-06-26,3389700,64.3835830688477
2020-06-29,1011800,67.2831802368164
2020-06-30,981400,68.3408813476562
2020-07-01,731600,68.1038131713867
2020-07-02,692600,68.0217361450195
2020-07-06,743600,68.2405700683594
2020-07-07,680000,67.0552215576172
2020-07-08,595300,66.7999038696289
2020-07-09,1182700,65.1951065063477
2020-07-10,670300,67.6387786865234
2020-07-13,649300,67.1190414428711
2020-07-14,589800,68.0399856567383
2020-07-15,765200,71.4228363037109
2020-07-16,599500,70.6751556396484
2020-07-17,789400,70.6568984985352
2020-07-20,762700,71.121940612793
2020-07-21,910800,71.8787460327148
2020-07-22,689100,72.170524597168
2020-07-23,858500,72.7632293701172
2020-07-24,1653100,70.7480926513672
2020-07-27,5159500,65.505126953125
2020-07-28,1411100,66.0248641967773
2020-07-29,1123000,67.5020141601562
2020-07-30,761400,66.8363800048828
2020-07-31,1111300,66.9652328491211
2020-08-03,1113100,68.9071884155273
2020-08-04,1140500,68.8979873657227
2020-08-05,981800,71.1988754272461
2020-08-06,707800,70.7663116455078
2020-08-07,543800,70.6374588012695
2020-08-10,787600,72.6806488037109
2020-08-11,664600,72.4505767822266
2020-08-12,732600,73.4629669189453
2020-08-13,476900,72.6530456542969
2020-08-14,473400,73.2880859375
2020-08-17,546700,72.146842956543
2020-08-18,462900,72.3861465454102
2020-08-19,363300,72.3309020996094
2020-08-20,5E+05,71.2817001342773
2020-08-21,591100,70.7018814086914
2020-08-24,517000,73.5734024047852
2020-08-25,452800,73.0579986572266
2020-08-26,483100,73.1224365234375
